id,headline,text_raw,text_normalized,sentiment,sentiment_numerical
3326,,Top qualifizierte Leute verdienen auch viel.,top qualifizierte leute verdienen auch viel .,SentimentNeutral,1
5321,,"Gott sei dank ist für sie eine Umfrage alles, alles Negative wird für sie wegen einer Umfrage unwichtig, weil Manager befragt wurden...","gott sei dank ist für sie eine umfrage alles , alles negative wird für sie wegen einer umfrage unwichtig , weil manager befragt wurden .",SentimentNegative,0
5590,""" Die FPÖ wird aus allen Rohren schießen und die Regierungsparteien weiterhin vor sich hertreiben.""",""" Die FPÖ wird aus allen Rohren schießen und die Regierungsparteien weiterhin vor sich hertreiben."" Sorry, aber die FPÖ tut eigentlich gar nichts und gewinnt TROTZDEM."," die fpö wird aus allen rohren schießen und die regierungsparteien weiterhin vor sich hertreiben .  sorry , aber die fpö tut eigentlich gar nichts und gewinnt trotzdem .",SentimentNeutral,1
6015,,"Weil es dein meisten Leuten verständlicherweise vollkommen egal ist, was die Gesellschaft oder jede andere dahergelaufene Diskursgruppe von ihnen hält.","weil es dein meisten leuten verständlicherweise vollkommen egal ist , was die gesellschaft oder jede andere dahergelaufene diskursgruppe von ihnen hält .",SentimentNegative,0
8213,,Na wer weis was da vorgefallen ist...,na wer weis was da vorgefallen ist .,SentimentNeutral,1
9724,,"Gabalier?
Künstler?
Bruahahaha!",gabalier ? künstler ? bruahahaha !,SentimentNegative,0
12986,"Juhu, ich werde reich! :)","Juhu, ich werde reich! :) Very Urgent Bastard,

l am Mr. Benson Baakari, the branch manager of Banque Atlantique Lome
Republic of Togo and the personal manager to (Late Mrs. Stella
Bastard) she bears the same name with you as well the same
nationality. I have an important Message for you about her death and
her funds the sum of $ 9.1 million dollars which she inherited from
her late Husband, I need your urgent response to help me give you
further details, please contact direct to my email address
(bensonbaakari@gmail.com) for more information. Also send me your
private email address for easy communication.
With Respect,
Mr. Benson Baakari","juhu , ich werde reich ! EMOTICON very urgent bastard , l am mr . benson baakari , the branch manager of banque atlantique lome republic of togo and the personal manager to ( late mrs . stella bastard ) she bears the same name with you as well the same nationality . i have an important message for you about her death and her funds the sum of $ 9 . 1 million dollars which she inherited from her late husband , i need your urgent response to help me give you further details , please contact direct to my email address ( bensonbaakari@URL ) for more information . also send me your private email address for easy communication . with respect , mr . benson baakari",SentimentNeutral,1
13038,,was die meise gibt kein black metal konzert?,was die meise gibt kein black metal konzert ?,SentimentNeutral,1
13060,,"Musst nicht, sonst gäbs weniger Spaß! ^^","musst nicht , sonst gäbs weniger spaß ! EMOTICON",SentimentNeutral,1
13076,Es sind immer dieselben bigotten verlogenen Berufsheilige,"Es sind immer dieselben bigotten verlogenen Berufsheilige die mit ihren eigenen sexuellen - mitunter kranken und unmoralischen - Phantasien nicht zurecht kommen und genau aus diesem Grund alles was anders ist verteufeln. 

Peinlich und nicht zeitgemäß",es sind immer dieselben bigotten verlogenen berufsheilige die mit ihren eigenen sexuellen - mitunter kranken und unmoralischen - phantasien nicht zurecht kommen und genau aus diesem grund alles was anders ist verteufeln . peinlich und nicht zeitgemäß,SentimentNegative,0
14217,,"du kannst sie auch ausdrucken und unters Kopfpolster legen, dann kannst du dich jeden Morgen daran erfreuen. Bei mir hängt sie im Büro an der Wand, nur zur Sicherheit, falls das Internet mal ausfallen sollte.","du kannst sie auch ausdrucken und unters kopfpolster legen , dann kannst du dich jeden morgen daran erfreuen . bei mir hängt sie im büro an der wand , nur zur sicherheit , falls das internet mal ausfallen sollte .",SentimentPositive,2
14677,ich sag jetzt mal,"ich sag jetzt mal Sie sind nicht das Problem, das Problem sind die 25 - 30% Wählerinnen und Wähler, die potentiell die Effen wählen.

Selbst wenn es eine Partei voller Pilze, Van der Bellens und Koglers gäbe, die würden die nicht wählen, stattdessen würde höchstens eine Umverteilung innerhalb der restlichen 75 - 70% stattfinden.

Aber im übrigen: ich für meinen Teil wähle schlichtweg das geringste Übel, und auch wenn mir einiges nicht passt bei den Grünen, aber da sind sie für mich immer noch bei weitem das kleinste Übel.","ich sag jetzt mal sie sind nicht das problem , das problem sind die 25 - 30 % wählerinnen und wähler , die potentiell die effen wählen . selbst wenn es eine partei voller pilze , van der bellens und koglers gäbe , die würden die nicht wählen , stattdessen würde höchstens eine umverteilung innerhalb der restlichen 75 - 70 % stattfinden . aber im übrigen : ich für meinen teil wähle schlichtweg das geringste übel , und auch wenn mir einiges nicht passt bei den grünen , aber da sind sie für mich immer noch bei weitem das kleinste übel .",SentimentNeutral,1
